key,year,year_num,city,language,origin_language,destination_language,author_or_editor,short_title
Basel_1550,1550,1550.0,Basel,LATIN,GRÆCI,LATINI,Johannes Scheubel,Euclidis Megarensis philosophi et mathematici excellentissimi sex libri priores de geometricis principiis
Augsburg_1555,1555,1555.0,Augsburg,GERMAN,LATEIN,TEÜTSCH,Johannes Scheubel,"Das sibend, acht und neünt büch des hochberümbten mathematici Euclidis Megarensis"
Paris_1536,1536,1536.0,Paris,LATIN | GREEK,GRÆCUS,LATINA,Oronce Finé,In sex priores libros geometricorum elementorum Euclidis Megarensis demonstrationes
Oxford_1685,1685,1685.0,Oxford,ENGLISH,FRENCH,ENGLISH,Claude-François Milliet Dechales,
London_1696,1696,1696.0,London,ENGLISH,FRENCH,ENGLISH,Claude-François Milliet Dechales,"The elements of Euclid explain'd, in a new, but most easie method: together with the use of every proposition through all parts of the mathematicks. Written in French, by that excellent mathematician, F. Claud. Francis Milliet de Chales, of the Society of Jesus. Now made English, and a multitude of errors corrected, which had escap'd in the original."
Oxford_London_1700,1700,1700.0,"Oxford, London",ENGLISH,FRENCH,ENGLISH,Claude-François Milliet Dechales,
Paris_1615,1615,1615.0,Paris,FRENCH,DE LATIN,EN FRANÇOIS,Denis Henrion,"Les quinze livres des Éléments d’Euclide, traduits du latin en français"
Paris_1621,1621,1621.0,Paris,FRENCH,DE LATIN,EN FRANÇOIS,Denis Henrion,"Les quinze livres des Éléments d’Euclide, traduits du latin en français"
Paris_1622,1622,1622.0,Paris,FRENCH | LATIN,DE GREC,EN FRANÇOIS,Pierre Le Mardelé,
Paris_1623,1623,1623.0,Paris,FRENCH,DE LATIN,EN FRANÇOIS,Denis Henrion,
Paris_1630,1630,1630.0,Paris,FRENCH,DE LATIN,EN FRANÇOIS,Denis Henrion,"Les six premiers livres des Elemens d'Euclide, traduits de latin en françois, par D. Henrion"
Paris_1631,1631,1631.0,Paris,FRENCH,DE LATIN,EN FRANÇOIS,Denis Henrion,"Les quinze livres des Éléments d’Euclide, traduits du latin en français"
Paris_1632a,1632,1632.0,Paris,FRENCH,DE GREC,EN FRANÇOIS,Pierre Le Mardelé,
Lyon_1645,1645,1645.0,Lyon,FRENCH,DE GREC,EN FRANÇOIS,Pierre Le Mardelé,
Lyon_1646,1646,1646.0,Lyon,FRENCH,DE GREC,EN FRANÇOIS,Pierre Le Mardelé,
Rouen_1649,1649,1649.0,Rouen,FRENCH,DE LATIN,EN FRANÇOIS,Denis Henrion,"Les quinze livres des éléments, , traduicts de latin en françois par D. Henrion"
Utrecht_n.d,,,Utrecht,DUTCH,LATIJNSCHE SPRAECKE,NEDERDUYTS,Nienrode,De vijfthien boecken Euclides
Le_Mans_1663,1663,1663.0,Le Mans,FRENCH,FRANÇOIS,EN FRANÇOIS,Roland Fréart,
Le_Mans_1663,1663,1663.0,Le Mans,FRENCH,GREC,EN FRANÇOIS,Roland Fréart,
